model	num	strata	cjs	IShmm	accumulate	divisor
NULL	-1	FALSE	FALSE	FALSE	FALSE	1
CJS	-1	FALSE	TRUE	FALSE	TRUE	1
JS	-1	FALSE	FALSE	FALSE	TRUE	1
PROBITCJS	-1	FALSE	TRUE	FALSE	FALSE	1
BAYESMSCJS	-1	TRUE	TRUE	TRUE	FALSE	1
MSCJS	-1	TRUE	TRUE	FALSE	TRUE	1
UMSCJS	-1	TRUE	TRUE	FALSE	TRUE	1
HMMCJS	-1	FALSE	TRUE	TRUE	TRUE	1
HMMMSCJS	-1	TRUE	TRUE	TRUE	TRUE	1
HMMUMSCJS	-1	TRUE	TRUE	TRUE	TRUE	1
HMMU2MSCJS	-1	TRUE	TRUE	TRUE	TRUE	1
HMMU2IMSCJS	-1	TRUE	TRUE	TRUE	TRUE	1
HMMStageOcc	-1	FALSE	FALSE	TRUE	FALSE	1
HMMCJS1TL	-1	TRUE	TRUE	TRUE	TRUE	1
HMMCJS2TL	-1	TRUE	TRUE	TRUE	TRUE	1
MVMSCJS	-1	TRUE	TRUE	TRUE	TRUE	1
MVMS	-1	TRUE	FALSE	TRUE	TRUE	1
MSLD	-1	TRUE	TRUE	FALSE	TRUE	2


